,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index
,,,,,,,,,,,,,,,,#N/A
Risi e Bisi,4,60.198,113.196,78.682,24.366,0,19.372,68.5658,2954.7000000000003,283.2,1677.7299999999998,6.316200000000002,1358.96,Own Recipe,1574.284,
Pea green fresh raw,250,14.499999999999998,1,20.25,13.999999999999998,0,10,0,2.5,0,672.5,4.500000000000001,75,Australian Government,148,763
Arborio Rice Riverina (100g),200,5.6,0.6,48.8,4.2,0,1,0.2,10,0,0,0,0,Woolworths,223,1655
Butter plain no added salt,60,0.66,48.779999999999994,0,0,0,0,41.748,6,100.19999999999999,13.8,0.006,10.200000000000001,Australian Government,441.6599999999999,233
Bacon rindless ,50,4.05,3,0.5,0,0,0,1.25,342.5,100,0,0,0,Fat secret,45.2,1469
Parsley continental fresh raw,40,0.96,0.08,0.24,1.88,0,0.24,0,23.2,0,612,1.08,76,Australian Government,5.52,743
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717
Parmigiano Reggiano,100,32.4,29.7,0,0,0,0,19.6,650,83,100,0.2,1155,Producer Website,396.9,1391
Onion mature brown skinned peeled raw,140,1.82,0,8.12,3.7800000000000002,0,8.12,0,11.200000000000001,0,252,0.33599999999999997,32.2,Australian Government,39.76,727
Salt table non-iodised,5,0,0,0,0,0,0,0,1908.8999999999999,0,0.8500000000000001,0,1.7000000000000002,Australian Government,0,934
Pepper black ground,2,0.20800000000000002,0.066,0.772,0.506,0,0.012,0.8898,0.4,0,26.58,0.1942,8.86,Australian Government,4.514,781
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
