Ananas, crudo Frutta/Frutta fresca	100	0.4	0.2	11.3	1.4	0	11.3	0	2	0	150	11	39	valorinutritivi.ch
Ananas, non zuccherato, conserva Frutta/Frutta cotta (incl. conserve)	100	0.4	0.2	11.3	1.4	0	11.3	0	2	0	130	11	39	valorinutritivi.ch
Ananas, zuccherato, conserva Frutta/Frutta cotta (incl. conserve)	100	0.4	0.2	20.2	1.3	0	20.2	0	1.8	0	120	9.9	35	valorinutritivi.ch
Anguria, cruda Frutta/Frutta fresca	100	0.5	0.3	6.3	0.3	0	6.3	0	2	0	110	9	8.3	valorinutritivi.ch
Arachidi Noci, semi e frutti oleosi	100	26.1	49.1	14.8	8.6	0	5.9	8.4	18	0	710	380	7	valorinutritivi.ch
Arachidi, tostate, salate Snack salati/Noci e semi salati	100	26.2	50	15	8	0	4.2	8.6	530	0	530	240	300	valorinutritivi.ch
Arancia, cruda Frutta/Frutta fresca	100	1	0.2	8.6	1.8	0	8.6	0	4	0	180	16	4	valorinutritivi.ch
Asparago, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	2.1	0.2	3.1	1.6	0	3	0	2.6	0	230	53	50	valorinutritivi.ch
Asparago, crudo Verdure/Verdure fresche	100	2.2	0.2	3.3	1.7	0	3.2	0	3	0	270	56	53	valorinutritivi.ch
Avocado, crudo Noci, semi e frutti oleosi;Verdure/Verdure fresche	100	1.8	14.2	0.8	3	0	0.8	2.9	7	0	520	44	6	valorinutritivi.ch
Bacca di sambuco nero, cruda Frutta/Frutta fresca	100	2.5	0.5	7.4	4	0	7.4	0	1	0	300	57	7	valorinutritivi.ch
Bacche (in media), cotte (senza aggiunta di zucchero), Frutta/Frutta cotta (incl. conserve)	100	0.8	0.5	6.1	2.4	0	6.1	0	1.3	0	99	19	15	valorinutritivi.ch
Bacche (in media), crude Frutta/Frutta fresca	100	0.8	0.5	7.2	2.8	0	7.2	0	2.1	0	160	23	14	valorinutritivi.ch
Bami Goreng, preparato Cibi/Cibi asiatici	100	13.5	2.4	13.2	0.9	0	1.4	0.3	400	44	190	120	620	valorinutritivi.ch
Banana, cruda Frutta/Frutta fresca	100	1.1	0.3	21	2	0	17.2	0.1	1	0	390	22	110	valorinutritivi.ch
Banana, secca Frutta/Frutta secca	100	3	1	60.2	5.5	0	43.7	0.4	8	0	1150	75	300	valorinutritivi.ch
Barbabietola, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	1.8	0.1	10	3	0	10	0	58	0	430	53	97	valorinutritivi.ch
Barbabietola, cruda Verdure/Verdure fresche	100	1.5	0.1	8.4	2.5	0	8.4	0	58	0	410	45	82	valorinutritivi.ch
Barretta ai cereali, con copertura di cioccolato Dolciumi/Barrette	100	8.5	20.3	58	5.5	0	37.2	11	150	4	450	210	190	valorinutritivi.ch
Barretta ai cereali, senza copertura o ripieno Dolciumi/Barrette	100	7.9	12.7	64.1	6.1	0	32.2	5.1	180	0	260	170	280	valorinutritivi.ch
Basilico, fresco Verdure/Erbe aromatiche	100	3.1	0.8	5.1	3.1	0	5	0.1	9	0	300	37	35	valorinutritivi.ch
Bastoncini alle nocciole Dolciumi/Biscotti	100	10.5	36.6	47	3.7	0	22.6	12.5	56	140	280	180	98	valorinutritivi.ch
Bastoncini di pasta sfoglia  Snack salati/Prodotti di pasta sfoglia	100	7.1	33.5	40.4	1.8	0	0.3	14.7	1030	45	120	79	1570	valorinutritivi.ch
Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso) Pesce/Pesci di mare	100	16.8	12.2	17.4	1	0	0.1	1	240	53	290	150	700	valorinutritivi.ch
Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL Pesce/Pesci di mare	100	16	18.6	16.6	0.9	0	0.1	1.4	230	51	280	140	670	valorinutritivi.ch
Bastoncino di pesce, impanato e prefritto Pesce/Pesci di mare	100	15.5	11.7	15.3	0.8	0	0.1	0.9	250	47	300	150	610	valorinutritivi.ch
Berner Hobelkäse (formaggio rotoli) Latte e prodotti di latte/Formaggio a pasta dura	100	30	41.2	0	0	0	0	0	690	0	0	0	0	valorinutritivi.ch
