Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aglio, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,578,137,0.5,0.1,tr.,0.3,0,24.5,2.4,22.1,3,7,0,0,63.7,0,0,0,0,0,0.2,0.1,1.24,0,0.7,3,0.6,30,0,0,450,10,30,38,21,140,1.4,2.7,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello (in media, senza interiora e cotoletta), cruda ","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,564,134,5.8,3,2.7,0.6,67,0,0,0,0,20.5,0.1,0,73.7,7,7,6,4,4,0.17,0.1,0.38,3.26,3.86,10.5,0.77,0,3.8,0.4,310,58,77,6.3,22,190,1.7,0.7,3.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, carré, crudo ","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,652,156,8.3,4.3,3.5,0.9,68,0,0,nd,0,20.3,0.2,0,67.6,9,9,9,5,5,0.18,0.06,0.61,3.61,1.2,6,0.57,0,2.9,0.5,300,63,79,7.5,24,180,1.8,0.9,2.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, cosciott, arrosto (senza aggiunta di grassi o sale)","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,849,203,9.8,5.2,4.5,1.1,97,0,0,nd,0,28.6,0.2,0,61.6,11,11,10,6,6,0.16,0.07,0.41,3.77,nd,7.2,1.1,0,7.2,0.48,390,77,110,6.3,25,240,2.3,1.2,5.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, cosciotto  crudo ","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,647,155,8.2,4.4,3.7,0.9,65,0,0,nd,0,20.2,0.2,0,69.1,9,9,9,5,5,0.18,0.06,0.46,3.61,nd,6,0.92,0,6.1,0.4,330,61,76,4.7,20,190,1.6,0.8,3.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, costoletta, cruda","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,747,179,10.9,5.2,4,0.9,72,0,0,nd,0,20.2,0.2,0,65.4,9,9,9,5,5,0.18,0.06,0.32,3.61,nd,6,0.57,0,5.2,0.5,310,69,79,8.4,20,180,1.5,0.9,2.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, filetto, cotto in padella, cottura media (senza aggiunta di grassi o sale)","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,573,136,3.6,1.4,1.6,0.2,88,0,0,0,0,25.8,0.2,0,70.5,10,10,9,5,5,0.1,0.25,0.14,2.05,6.08,25.6,0.7,0,0,0.2,290,77,110,14,31,220,2.4,0.9,4.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, filetto, crudo","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,473,112,3.4,1.3,1.5,0.2,66,0,0,0,0,20.4,0.2,0,75.1,9,9,9,5,5,0.13,0.23,0.17,2.2,6.51,24,0.66,0,tr.,0.19,280,68,79,12,27,190,1.9,0.7,3.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, lombata, cruda ","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,493,117,3.3,1.9,1.9,0.4,72,0,0,nd,0,21.8,0.1,0,73,9,9,9,5,5,0.18,0.06,0.51,3.61,nd,6,0.92,0,2.9,0.5,330,44,79,3.8,23,200,1.9,0.8,2.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agnello, spezzatino, crudo (Svizzera)","Carne e frattaglie/Agnello, pecora",,per 100 g di parte edibile,644,154,8.4,4.3,3.7,1,66,0,0,nd,0,19.6,0.2,0,69.9,0,0,0,0,0,0.18,0.06,0.36,3.61,1.2,6,0.57,0,6.1,0.5,310,60,75,4.6,18,170,1.3,0.7,4.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
