Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavallo, filetto, cotto in padella (senza aggiunta di grassi o sale)",Carne e frattaglie/Altre specie animali,,per 100 g di parte edibile,547,129,2,0.9,0.9,0.1,71,0,0,0,0,27.8,0.1,0,70.2,20,20,20,0,0,0.09,0.11,0.29,3,4.73,9.1,0.66,0,0.2,0.14,300,51,12,16,27,220,6.2,1.4,4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavallo, filetto, crudo",Carne e frattaglie/Altre specie animali,,per 100 g di parte edibile,433,102,1.9,0.9,0.8,0.1,52,0,0,0,0,21.4,0.1,0,74.8,20,20,20,0,0,0.13,0.1,0.38,3,4.6,8,0.6,0,0.2,0.14,330,44,9,13,23,190,4.7,1,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolfiore, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,110,26,0.3,0.1,0,0.2,0,2.3,2,0.3,2.4,2.4,0,0,92.6,0,0,0,2,2,0.05,0.08,0.13,0,0.51,52.4,0.67,47.3,0,0.21,290,13,19,20,14,48,0.4,0.6,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolfiore, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,110,26,0.3,0.1,0,0.2,0,2.3,2,0.3,2.4,2.4,0,0,91.9,0,0,0,2,2,0.06,0.08,0.15,0,0.6,83,0.74,59.9,0,0.2,320,14,19,20,15,48,0.5,0.6,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavoli (in media), cotti (senza aggiunta di grassi o sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,118,28,0.3,0.1,0,0.1,0,2.9,2.7,0.2,2.6,2.2,0,0,92.1,19,9,0,111,111,0.06,0.06,0.15,0,0.56,31.7,0.36,52.4,0,0.96,250,10,41,50,17,47,0.5,3.1,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavoli (in media), crudi",Verdure/Verdure fresche,,per 100 g di parte edibile,123,29,0.3,0.1,0,0.1,0,3,2.9,0.2,2.7,2.2,0,0,91.7,20,10,0,119,119,0.07,0.07,0.17,0,0.69,52.8,0.43,73.8,0,0.98,290,12,44,52,19,50,0.7,3.2,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolini di Bruxelles, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,164,39,0.5,0.1,0.1,0.2,0,3.2,2.6,0.5,3.9,3.7,0,0,88.8,27,13,0,161,161,0.11,0.11,0.23,0,0.54,36.4,0.53,114.4,0,0.87,340,7.4,26,28,20,70,0.8,0.6,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolino di Bruxelles, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,180,43,0.5,0.1,0.1,0.2,0,3.5,2.9,0.6,4.3,4,0,0,87,31,16,0,186,186,0.14,0.13,0.29,0,0.7,63,0.65,158.6,0,0.9,410,9,28,31,23,77,1.1,0.7,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo bianco, al vapore (senza aggiunta di grasso e sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,119,28,0.2,0,0,0.1,0,4,3.9,0.1,2.8,1.3,0,0,91.8,5,3,0,30,30,0.04,0.04,0.15,0,0.26,18.6,0.19,33.8,0,1.7,220,4.1,35,53,11,31,0.2,2.9,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo bianco, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,125,30,0.2,0,0,0.1,0,4.2,4.1,0.1,3,1.4,0,0,90.4,6,3,0,33,33,0.05,0.05,0.18,0,0.32,31,0.23,61.4,0,1.7,260,4.8,37,56,12,33,0.3,3,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo bianco, stufato (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,125,30,0.2,0,0,0.1,0,4.2,4.1,0.1,3,1.4,0,0,91.3,5,3,0,32,32,0.04,0.04,0.15,0,0.28,20,0.2,34.4,0,1.83,220,4.5,38,58,10,33,0.3,3.1,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo cinese, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,66,16,0.3,0.1,0,0.1,0,1.2,1.2,tr.,1.9,1.1,0,0,94.9,11,5,0,63,63,0.04,0.04,0.15,0,0.4,44,0.18,22.6,0,0.24,140,19,18,40,11,30,0.6,0.3,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo cinese, stufato (senza aggiunta di grasso e sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,64,15,0.3,0.1,0,0.1,0,1.2,1.2,0,1.9,1,0,0,95.6,10,5,0,59,59,0.03,0.03,0.13,0,0.33,27.5,0.15,12.2,0,0.25,120,17,18,40,9.5,30,0.5,0.3,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo piuma, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,183,44,0.9,0.1,0,0.5,0,2.5,2.5,0,4.2,4.3,0.1,0,85.9,514,257,0,3085,3085,0.1,0.25,0.22,0,2.1,85.4,0.7,74,0,1.7,490,22,60,270,27,79,1.3,4.5,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo piuma, stufato (senza aggiunta di grasso e sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,195,47,1,0.1,0,0.5,0,2.7,2.7,0,4.5,4.6,0.1,0,87.3,509,254,0,3052,3052,0.1,0.25,0.21,0,2.12,63.6,0.67,59.8,0,1.81,520,23,64,290,29,84,1.4,4.8,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo rapa, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,119,28,0.2,0,0,0.1,0,3.9,3.7,0.2,1.5,2,0,0,92.4,2,1,0,11,9,0.03,0.05,0.07,0,1.6,26.4,0.11,48,0,0.44,300,19,42,68,43,53,0.4,0.7,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo rapa, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,113,27,0.2,0,0,0.1,0,3.7,3.6,0.1,1.4,1.9,0.1,0,91.6,2,1,0,11,9,0.03,0.05,0.08,0,1.8,39.5,0.12,57.6,0,0.4,320,20,40,64,43,50,0.5,0.7,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo rosso, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,127,30,0.3,0,0,0.2,0,4,4,0,3,1.4,0,0,90.6,4,2,0,21,21,0.06,0.03,0.16,0,0.4,43,0.37,57.5,0,0.9,250,10,100,52,13,36,0.5,2.9,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavolo rosso, stufato (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,109,26,0.3,0,0,0.1,0,3.4,3.4,0,2.6,1.2,0,0,92.5,3,1,0,18,18,0.05,0.02,0.12,0,0.3,23.9,0.28,27.7,0,0.83,180,8.1,88,47,10,32,0.4,2.6,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceci, cotti (senza aggiunta di grassi e sale)","Prodotti a base di cereali, legumi e patate/Legumi",,per 100 g di parte edibile,532,127,2,0.3,0.5,1.1,0,16.8,0.9,15.9,6.2,7.3,0,0,67.7,10,5,0,63,63,0.14,0.04,0.09,0,0.44,68,0.24,1.2,0,0.68,330,3,33,44,48,140,1.9,0.2,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceci, secchi","Prodotti a base di cereali, legumi e patate/Legumi",,per 100 g di parte edibile,1370,327,4.9,0.6,1.4,2.7,0,44.3,2.4,41.9,15.5,18.6,0,0,13,26,13,0,157,157,0.52,0.13,0.33,0,1.7,340,1.11,5.1,0,1.9,1090,8.1,80,120,140,380,5.4,0.6,2.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedro candito,Dolciumi/Altri dolciumi,,per 100 g di parte edibile,1230,289,0.4,0.1,0,0.2,0,70,70,0,2,0.4,0,0,26.1,33,17,0,200,200,0.02,0.03,0.06,0,0.12,4,0.1,4,0,0,50,2,1,40,5,4,0.3,0.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervelat,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1030,249,21.5,8.2,9.7,1.7,51,0.5,0.5,0,0,13.4,2.1,0,61.8,2,2,2,3,3,0.33,0.12,0.09,0.57,3.05,0.9,0.4,37.3,0.7,tr.,190,840,1140,11,13,190,0.8,0.4,1.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cervo (in media), crudo",Carne e frattaglie/Selvaggina,,per 100 g di parte edibile,474,112,3.3,1.5,1.4,0.2,50,0,0,0,0,20.6,0.2,0,74.9,0,0,0,0,0,0.25,0.25,0.3,1,tr.,5,0.8,0,tr.,0.13,310,62,40,10,21,200,2.3,0.6,3.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cervo, entrecôte, crudo",Carne e frattaglie/Selvaggina,,per 100 g di parte edibile,470,111,2.1,1.2,0.9,0.5,59,0,0,nd,0,23.1,0.1,0,71.5,0,0,0,0,0,0.26,0.6,0.99,6.3,nd,6,0.69,0,0.4,0.2,320,53,40,3.2,23,200,3,7.8,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cetriolini, sott'aceto",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,59,14,0.1,tr.,tr.,tr.,0,2.1,1.9,0.2,1,0.7,1.8,0,93,15,8,0,90,80,0.02,0.02,0.02,0,0.2,7,tr.,5,0,0.1,100,700,tr.,14,11,20,1,tr.,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cetriolo, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,57,14,0.1,tr.,tr.,tr.,0,2,1.9,0.1,0.8,0.7,0,0,96,37,19,0,222,222,0.02,0.02,0.03,0,0.2,8.9,0.2,9.2,0,0.09,140,0.9,37,15,10,18,0.2,2.9,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champignon, crudo",Verdure/Funghi,,per 100 g di parte edibile,107,25,0.3,0,0,0.1,0,1.1,0.3,0.2,1.9,3.7,0,0,92,2,1,0,10,10,0.1,0.45,0.1,0,4,30,2.2,3,1.9,0.1,370,5.7,67,7,11,110,1,18,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champignon, stufato (senza aggiunta di grasso e sale)",Verdure/Funghi,,per 100 g di parte edibile,122,29,0.3,0.1,0,0.2,0,1.2,0.3,0.2,2.3,4.2,0,0,93.2,2,1,0,12,12,0.1,0.46,0.1,0,3.9,22,2.2,2.7,2.3,0.12,350,6,78,8.3,11,120,1,21,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheeseburger,Cibi/Fast Food,,per 100 g di parte edibile,1180,281,14.2,7.5,4.9,1.1,36,24.3,3.3,20.9,1.6,13.2,1.6,0,44.1,53,50,47,36,36,0.19,0.16,0.13,1.3,2.32,19,0.34,0.4,0.1,0.82,240,640,820,110,27,240,1.4,7.7,2.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiacchiere di carnevale,Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,2310,553,32.9,16.1,10.5,2.6,159,51.7,1.9,49.2,2.3,11.5,0.1,0,2.3,288,278,269,110,110,0.14,0.11,0.06,0.34,0.52,23.7,0.83,0,0.8,2.52,170,58,110,28,14,100,0.8,13,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chili con carne, preparato",Cibi/Brodi e zuppe,,per 100 g di parte edibile,482,115,3.6,1,1.7,0.7,17,8.8,2.1,6.2,3.1,10.4,0.4,0,74.3,58,30,1,337,337,0.11,0.08,0.14,0.25,1.4,27.2,0.29,5.4,0.1,0.88,350,150,320,27,30,110,1.9,2.2,1.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips di banana secca ,Frutta/Frutta secca,,per 100 g di parte edibile,1570,370,1.8,0.7,0.2,0.3,0,80.7,65.3,15.4,7.6,3.9,0,0,3,60,30,0,363,350,0.18,0.24,tr.,0,2.8,tr.,tr.,7,0,tr.,1490,3,tr.,22,110,74,1.2,tr.,tr.,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chips di mais ,Snack salati/Patatine,,per 100 g di parte edibile,2130,509,27.2,6.6,11.4,8.1,0,56,2.4,53.6,4.4,7.8,2.4,0,2,0,0,0,0,0,0.15,0.2,0.17,0,1.8,18,0.3,0,0,5.9,190,970,tr.,67,43,130,1.9,tr.,tr.,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciambellone al cioccolato,"Dolciumi/Dolci, torte e cake",,per 100 g di parte edibile,1590,380,18.4,10.4,4.6,1.2,108,46.3,22.9,23.3,1.9,6.4,0.1,0,27.5,159,154,149,62,62,0.05,0.09,0.03,0.27,0.27,9,0.44,0.1,0.6,0.56,150,36,61,30,20,87,0.9,8.7,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciambellone della nonna,"Dolciumi/Dolci, torte e cake",,per 100 g di parte edibile,1920,462,32,13.2,14,2.2,99,33.3,26.8,5,3.1,8.7,0.4,0,23.6,146,141,136,59,59,0.12,0.15,0.11,0.24,0.4,21.7,0.65,0.3,0.5,3.61,340,150,210,49,54,120,2.1,9.7,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cicoria belga, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,55,13,0.2,0,0,0.1,0,0.7,0.6,0.1,2.4,1,0,0,95.7,1,0,0,5,5,0.04,0.05,0.03,0,0.25,32.2,0.12,1.1,0,0.1,180,3.5,24,20,9.3,24,0.2,1,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cicoria bianca di Milano, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,67,16,0.2,0,0,0.1,0,1.5,1.5,0,1.6,1.2,0,0,94.8,54,27,0,323,323,0.06,0.08,0.05,0,0.31,14.4,0.16,7,0,0.5,230,10,55,35,10,30,1,3.3,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cicoria rossa, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,79,19,0.1,0,tr.,0.1,0,1.6,1.6,0,3,1.4,0,0,94,133,67,0,800,800,0.06,0.05,0.05,0,0.3,14.1,0.19,7.7,0,0.57,180,7,tr.,36,tr.,30,0.3,tr.,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciliegie, cotte, sgocciolate (senza aggiunta di zuccheri)",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,297,70,0.6,0.1,0.1,0.2,0,14.1,14.1,0,1.6,1.4,0,0,82.4,6,3,0,37,31,0.02,0.03,0.04,0,0.2,8.6,0.15,2.2,0,0.11,170,2.1,3.4,19,12,16,0.4,1.1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciliegie, crude",Frutta/Frutta fresca,,per 100 g di parte edibile,314,74,0.5,0.1,0.1,0.2,0,15.3,15.3,0,1.7,1.3,0,0,80.8,7,4,0,43,36,0.03,0.04,0.05,0,0.22,15,0.16,4.8,0,0.1,250,3,3,17,13,17,0.4,1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinghiale (in media), crudo",Carne e frattaglie/Selvaggina,,per 100 g di parte edibile,457,108,3.4,1.5,1.4,0.2,65,0,0,0,0,19.5,0.2,0,75.9,8,8,8,0,0,0.1,0.2,0.4,5,5.1,5,0.7,0,tr.,0.21,360,94,60,10,22,170,1.8,6,2.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato al latte,Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2240,537,31.1,19.3,10.4,1.2,12,56.9,55.2,0.6,1.9,6.5,0.5,0,1.3,65,62,59,36,36,0.09,0.4,0.04,0,0.4,7,0.19,2.8,0,0.25,640,190,130,250,55,240,2.1,17,1.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato al latte con nocciole,Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2370,570,38.2,16.7,16.9,2.5,11,46.1,44.4,0.4,3.2,8.8,0.2,0,4.3,38,36,35,20,20,0.14,0.3,0.14,0.29,0.5,22.7,0.86,2.1,0.2,3.65,440,73,160,230,63,220,1.3,6.5,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato al latte con nougat/torrone alle mandorle e miele,Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2240,536,31.5,18.2,9.7,1.6,15,54.8,54.3,0.4,1.8,7.3,0.2,0,4.8,50,48,46,26,26,0.07,0.36,0.07,0.34,0.34,11.7,0.68,2.3,0.2,0.79,380,86,190,250,45,210,0.9,6.3,1.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cioccolato al latte con uva secca, nocciole e mandorle",Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2140,513,28.9,14.5,11,1.5,10,52.6,51,0.9,4.5,8.4,0.2,0,6.4,36,34,33,21,21,0.1,0.31,0.09,0.23,0.59,16.5,0.64,1.7,0.2,2.7,520,62,130,210,76,230,1.9,5,1.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato al latte ripieno di alcool,Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2040,488,23.1,13.6,6.9,1.2,10,59,58.3,0.8,2.9,5.6,0.1,2.2,7.6,33,32,30,19,19,0.05,0.24,0.04,0.22,0.35,8.8,0.49,1.5,0.2,0.21,340,56,120,160,50,160,1.3,4.1,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cioccolato al latte ripieno di crema (Gianduja, Nougat/Torrone)",Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2390,573,38.3,18.5,14.5,2.8,10,47.6,46.4,0.5,3.4,7.9,0.1,0,3.7,33,32,31,16,16,0.09,0.29,0.09,0.19,0.5,17.6,0.57,1.4,0.1,4.04,370,49,110,170,71,190,1.3,4.1,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato al latte ripieno di crema alle nocciole,Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2330,558,35.7,17,14.3,2.3,8,49.1,47.3,0.6,3.7,8.3,0.2,0,3.9,24,23,22,13,13,0.13,0.28,0.13,0.24,0.52,19.7,0.75,1.1,0.1,3.51,430,63,130,190,79,210,1.5,5.4,1.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cioccolato in polvere,Dolciumi/Cioccolato e prodotti a base di cacao;Bevande analcoliche/Bevande al cacao,,per 100 g di parte edibile,1680,398,7.8,4.6,2.6,0.2,0,71.3,70.6,0.7,10.5,5.3,0,0,1.7,2,1,0,13,13,0.04,0.13,0.05,0,0.86,12,0.35,0,0,0.22,620,5,12,37,130,210,4.2,0.9,1.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cioccolato, bianco",Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2370,567,35.2,21.9,11.7,1.3,16,55.8,55.3,nd,0.2,6.7,0.3,0,1.3,9,9,9,0,0,0.06,0.28,0.06,0.56,0.75,7,0.61,2.1,nd,0.96,330,110,nd,260,12,180,0.3,4.9,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cioccolato, nero (amaro)",Dolciumi/Cioccolato e prodotti a base di cacao,,per 100 g di parte edibile,2240,537,31.8,19.7,11,1.1,1,53.4,50,2.3,7,5.7,0,0,0.7,5,2,0,29,25,0.08,0.15,0.05,0,0.6,7,0.19,0,0,0,830,15,100,48,120,140,6.7,2.3,2.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cipolla, arrostita (senza aggiunta di grasso e sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,388,92,0.5,0.1,0,0.2,0,16.7,16.7,0,4.3,3.1,0,0,75.5,1,0,0,4,4,0.11,0.05,0.24,0,0.68,13.2,0.3,10.9,0,0.33,250,8.9,45,68,22,80,0.6,4.3,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
