Container,Weight,
Rice cooker,381,
Pressure cooker philips,64,
Instant pot,1086,
Inox bowl,581,
Milk jug large,247,
Pyrex with soft lid,837,
Sauce pan blue smallest ,499,
Sauce pan blue medium ,563,188
Pentolino rosso piccolo,214,
Contenitore grande con coperchio azzurro a incastro ,113,
Contenitori piccoli mamma Lorena ,46,
Pyrex Bowl,769,
Pyrex Measuring Jug,1391,
Planetaria Bowl,1087,
Blender with blades in,855,1945
