,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
Lentils with Pork,8,483.99800000000005,72.42999999999999,430.40799999999996,172.48,0,63.42,179.22,1053.72,0,9949.5,61.85100000000001,853.7,Own Recipe,4309.494,1272,538.68675
Carrot mature peeled fresh raw,260,1.56,0,17.16,8.84,0,16.12,0,127.39999999999999,0,686.4,0.624,67.60000000000001,Australian Government,74.88,267,
Onion mature brown skinned peeled raw,320,4.16,0,18.56,8.64,0,18.56,0,25.6,0,576,0.7679999999999999,73.60000000000001,Australian Government,90.88,728,
Celery fresh raw,310,1.86,0.31,3.72,4.34,0,3.72,0,303.8,0,827.6999999999999,0.775,136.4,Australian Government,25.11,273,
Pork mince extra lean 5%,1040,197.6,52,0,0,0,0,34.32,520,0,0,0,0,packaging,1258.4,1343,
Lentil French hulled dry,966,273.37800000000004,19.32,374.80799999999994,144.9,0,9.66,144.9,19.32,0,6472.2,52.16400000000001,531.3000000000001,Australian Government,2766.624,577,
Tomato paste no added salt,160,5.44,0.8,16.16,5.760000000000001,0,15.36,0,57.599999999999994,0,1387.2,7.52,44.800000000000004,Australian Government,93.6,1062,
,,,,,,,,,,,,,,,,#N/A,
Chicken Cacciatore,8,460.23999999999984,203.45000000000002,138.35999999999999,75.29,0,122.48999999999998,1425.262,11522.9,1738,15474.400000000001,44.194,1040.3,Own Recipe,4225.449999999999,#N/A,528.1812499999999
Chicken thigh lean flesh raw,2200,402.59999999999997,110,0,0,0,0,701.8000000000001,1364,1738,6160,15.399999999999999,220,Australian Government,2600.3999999999996,308,
Oil olive,60,0,59.940000000000005,0,0,0,0,9.756000000000002,0,0,0,0,0,Australian Government,539.46,718,
Mushroom common fresh raw,500,11.5,2,0,6.999999999999999,0,0,123.00000000000001,45,0,1800,2.2500000000000004,15,Australian Government,64,662,
Onion mature red skinned peeled raw,400,5.2,0,23.2,10.8,0,23.2,0,32,0,720,0.96,92,Australian Government,113.6,729,
Tomato whole canned in tomato juice undrained,1600,14.400000000000002,0,48,16,0,48,536,832,0,3504,12.64,320,Australian Government,249.60000000000002,1068,
Garlic peeled fresh raw,40,2.44,1.1199999999999999,4.08,6.76,0,0.6,14,3.2,0,204,0.68,12,Australian Government,36.16,455,
Capsicum red fresh raw,400,6.800000000000001,0.8,16,7.200000000000001,0,16,0,8,0,696,1.2,16,Australian Government,98.4,263,
Capsicum yellow fresh raw,400,6.4,0.6000000000000001,12.6,7.6,0,12.6,0,8,0,650,1.66,24,"Australian Government, Calculated",81.4,262,
Carrot mature peeled fresh raw,180,1.08,0,11.88,6.12,0,11.16,0,88.2,0,475.20000000000005,0.43199999999999994,46.800000000000004,Australian Government,51.84,267,
Stock dry powder or cube,40,4.5200000000000005,3.5600000000000005,9,0,0,1.7199999999999998,20.6,7360,0,100,1,28.4,Australian Government,86.12,1027,
Tomato cherry raw,400,2,0.4,8.8,6.800000000000001,0,8.8,0,40,0,960,2,44,Australian Government,46.800000000000004,1060,
Olive green or black drained,120,2.4,24.599999999999998,2.16,2.76,0,0,15.84,1740,0,79.2,2.292,62.400000000000006,Australian Government,239.64,727,
Oregano dried,10,0.8999999999999999,0.42999999999999994,2.64,4.25,0,0.4099999999999999,4.266,2.5,0,126,3.6799999999999997,159.70000000000002,Australian Government,18.03,735,
,,,,,,,,,,,,,,,,#N/A,
Spanish-style meatballs,8,310.79900000000004,144.536,178.457,88.175,0,72.922,94.8738,7345.85,0,6326.3,18.108,612.9399999999999,Own Recipe,3257.8480000000004,1268,407.23100000000005
Pork mince extra lean 5%,1000,190,50,0,0,0,0,33,500,0,0,0,0,packaging,1210,1343,
Carrot mature peeled fresh raw,50,0.3,0,3.3000000000000003,1.7000000000000002,0,3.1,0,24.5,0,132,0.12,13,Australian Government,14.4,267,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,455,
Paprika dry powder,10,1.41,1.29,1.9100000000000001,3.4899999999999998,0,1.03,1.845,6.800000000000001,0,228,2.114,22.9,Australian Government,24.89,743,
Parsley continental fresh raw,40,0.96,0.08,0.24,1.88,0,0.24,0,23.2,0,612,1.08,76,Australian Government,5.52,744,
Oil olive,40,0,39.96000000000001,0,0,0,0,6.504000000000001,0,0,0,0,0,Australian Government,359.6400000000001,718,
