Container,Weight
Blender with blades in,855
Contenitore grande con coperchio azzurro a incastro ,113
Contenitori piccoli mamma Lorena ,46
Inox bowl,581
Instant pot,1086
Milk jug large,247
Pentolino rosso piccolo,214
Planetaria Bowl,1087
Pressure cooker philips,64
Pyrex Bowl,769
Pyrex Measuring Jug,1391
Pyrex with soft lid,837
Rice cooker,381
Sauce pan blue medium ,563
Sauce pan blue smallest ,499
Sauce Pan Light Blue larger,761
