,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 309,,,,,,,,,,,,,,,,,,,,,,
Nectarine yellow unpeeled raw,180,2.16,0.18,14.4,3.6,0,14.4,0,0,0,426.6,0.23399999999999999,16.2,Australian Government,67.86,677,,,,,,
Mango peeled raw,230,0.92,0,30.82,2.99,0,29.67,0,0,0,351.90000000000003,0.391,20.7,Australian Government,126.96000000000001,604,,,,,,
Chobani No Fat Plain Yoghurt,150,14.549999999999999,0.3,6.300000000000001,0,0,4.95,0.15,48,0,0,0,0,Woolworths,86.1,1430,,,,,,
Nut almond with skin raw unsalted,5,0.9849999999999999,2.525,0.27,0.545,0,0.26,0.395,0,0,39.8,0.1875,13.25,Australian Government,27.744999999999997,683,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 684.54225,,,,,,,,,,,,,,,,,,,,,,
Barilla Pasta Caserecce,47,5.64,0.9400000000000001,33.699000000000005,1.41,0,1.6450000000000002,0.23500000000000001,2.35,0,0,0,0,Producer Website,165.81600000000003,1378,,,,,,
Red Curry With Lentils and Potatoes,0.5,7.39625,12.43125,51.114999999999995,4.35875,0,2.63375,7.889749999999999,77.1375,0,283.75,0.2055,7.550000000000001,Own Recipe,345.92625,1265,,,,,,
Chobani Greek Yoghurt Plain Whole Milk,200,17.4,8,7.8,0,0,5.4,5.2,48,0,0,0,0,Woolworths,172.79999999999998,1429,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 1157.093375,,,,,,,,,,,,,,,,,,,,,,
Rice And Beans,1.5,17.13375,6.495375000000001,134.4555,12.55125,0,5.697,3.7916250000000002,111.72,0,166.5,0.2985,18.637500000000003,Own Recipe,664.815375,1264,,,3,,,
Delta Bulgarian White Brined Sheep's Milk Cheese,50,8.5,12.25,0.5,0,0,0.5,7.5,150,0,0,0,0,Packaging,146.25,1355,,,100,,,
Cucumber Lebanese unpeeled raw,150,0.9,0,3,1.35,0,2.85,0,18,0,201,0.405,63,Australian Government,15.6,382,,,300,,,
Tomato common raw,200,1.2,0,6,2.2,0,5,0,8,0,420,0.45999999999999996,22,Australian Government,28.8,1060,,,400,,,
Cabbage white raw,100,1.3,0.1,2.8,2.4,0,2.8,0,14.000000000000002,0,266,0.45999999999999996,32,Australian Government,17.3,240,,,200,,,
Olive green or black drained,30,0.6,6.1499999999999995,0.54,0.69,0,0,3.96,435,0,19.8,0.573,15.600000000000001,Australian Government,59.91,726,,,60,,,
Barramundi aquacultured fillet raw,100,19.2,5.3,0,0,0,0,32.21,56.00000000000001,86,345,0.32,19,Australian Government,124.5,47,,,200,,,
Eggs X-Large (700g/12 eggs),1.5,9.828,6.63,0.23399999999999999,0,0,0.23399999999999999,25.412399999999998,117,380.64,109.19999999999999,1.4819999999999998,36.66,Australian Government,99.918,413,,,3,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,#N/A,,Protein,150,107.71300000000001,,42.28699999999999
,,,,,,,,,,,,,,,,#N/A,,Fat,70,61.301625,-23.272069444444462,8.698374999999999
,,,,,,,,,,,,,,,,#N/A,,Carb,220,291.93350000000004,-52.362156250000055,-71.93350000000004
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,32.095,,0.5670000000000073
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,2150.3006250000003,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,107.71300000000001,61.301625,291.93350000000004,32.095,0,76.03974999999998,86.743775,1085.2075,466.64,2629.55,5.016499999999999,264.59749999999997,,2150.3006250000003,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
