,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 328,,,,,,,,,,,,,,,,,,,,,,
Seeded Sourdough Bread 1/02,90,8.840257425742573,3.767762376237624,33.568039603960386,1.7764752475247527,0,0.8059009900990101,2.896823762376238,367.516396039604,0,51.028514851485156,0.7680534653465346,14.803960396039603,Own Recipe,203.54304950495046,1273,,,,,,
Tomato cherry raw,70,0.35000000000000003,0.07,1.5400000000000003,1.1900000000000002,0,1.5400000000000003,0,7,0,168,0.35000000000000003,7.7,Australian Government,8.190000000000001,1059,,,,,,
Coles Cheese Bocconcini,35,5.880000000000001,7.14,0.28,0,0,0.28,4.7250000000000005,87.5,0,0,0,0,CalorieKing,88.9,1150,,,,,,
Oil olive,3,0,2.9970000000000003,0,0,0,0,0.48780000000000007,0,0,0,0,0,Australian Government,26.973000000000003,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 638.55,,,,,,,,,,,,,,,,,,,,,,
Pasta white wheat flour dry,70,8.89,0.9799999999999999,47.95,2.24,0,0,17.598000000000003,3.5,0,99.39999999999999,0.7000000000000001,12.6,Australian Government,236.18,751,,,,,,
Tuna canned in brine drained,120,31.32,3.12,0,0,0,0,52.8,240,63.6,245.99999999999997,1.392,6,Australian Government,153.36,1073,,,,,,
Spinach baby fresh raw,40,1.1199999999999999,0,0,1,0,0,0,36,0,242,0.7000000000000001,37.2,Australian Government,4.4799999999999995,1012,,,,,,
Tomato cherry raw,35,0.17500000000000002,0.035,0.7700000000000001,0.5950000000000001,0,0.7700000000000001,0,3.5,0,84,0.17500000000000002,3.85,Australian Government,4.095000000000001,1059,,,,,,
Coles Cheese Bocconcini,36,6.048,7.343999999999999,0.28800000000000003,0,0,0.28800000000000003,4.86,90,0,0,0,0,CalorieKing,91.43999999999998,1150,,,,,,
Oil olive,5,0,4.995000000000001,0,0,0,0,0.8130000000000002,0,0,0,0,0,Australian Government,44.95500000000001,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Banana cavendish peeled raw,120,1.6799999999999997,0.36,23.52,2.64,0,15.36,0,0,0,415.2,0.348,6,Australian Government,104.03999999999999,35,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
