,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 199,,,,,,,,,,,,,,,,,,,,,,
Coles Italian Passata Tomato ,100,1.4,0,5.6,1.6,0,1.6,0,350,0,350,0,0,Coles,28,1165,,Coles Italian Passata Tomato ,400,,,
Fig fresh unpeeled raw,10,0.13999999999999999,0.03,0.81,0.33,0,0.81,0,0.3,0,18,0.03,3.8,Australian Government,4.07,426,,Fig fresh unpeeled raw,40,,,
Gorgonazola Dolce Blue Cheese,7.5,1.425,1.9500000000000002,0,0,0,0,1.131,108.75,0,0,0,0,Woolworths,23.25,1467,,Gorgonazola Dolce Blue Cheese,30,,,
Honey,5,0.01,0,4.1049999999999995,0,0,4.1049999999999995,0,0.7000000000000001,0,3.1,0.01,0.4,Australian Government,16.459999999999997,484,,Honey,20,,,
Pear brown skin unpeeled raw,10,0.03,0,1.04,0.34,0,1.04,0,0.2,0,10,0.02,0.6,Australian Government,4.28,773,,Pear brown skin unpeeled raw,40,,,
Prosciutto di Parma DOP sgrassato,22.5,6.547500000000001,1.44,0,0,0,0,0.45,458.99999999999994,20.025,139.04999999999998,0.225,2.9250000000000003,INRAN,39.150000000000006,1258,,Prosciutto di Parma DOP sgrassato,90,,,
Parmigiano Reggiano,7.5,2.43,2.2275,0,0,0,0,1.47,48.75,6.225,7.5,0.015,86.625,Producer Website,29.7675,1398,,Parmigiano Reggiano,30,,,
Artichoke heart canned in brine drained,25,0.475,0.075,0.3,1.175,0,0.275,0,70,0,45,0.1,8.25,Australian Government,3.7749999999999995,24,,Artichoke heart canned in brine drained,100,,,
Short Cut Bacon ,25,4.5,3.5000000000000004,0.25,0,0,0,1.25,287,12,69.75,0,0,FatSecret,50.5,1282,,Short Cut Bacon ,100,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 1394.31375,,,,,,,,,,,,,,,,,,,,,,
Olive green or black drained,5,0.1,1.025,0.09000000000000001,0.11499999999999999,0,0,0.66,72.5,0,3.3000000000000003,0.0955,2.6,Australian Government,9.985,726,,Olive green or black drained,20,,,
5 Stagioni Gold,328.75,46.025000000000006,2.95875,223.55,6.575,0,4.9312499999999995,0,16.4375,0,0,0,0,Packaging,1104.92875,1293,,5 Stagioni Gold,1315,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Coles Cheese Bocconcini,110,18.48,22.439999999999998,0.88,0,0,0.88,14.850000000000001,275,0,0,0,0,CalorieKing,279.4,1150,,Coles Cheese Bocconcini,440,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
