Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Breakfast cereal whole wheat biscuit no added sugar unfortified,100,10.4,2.7,63.7,11.5,0,1.1,18.2,370,0,370,6.8,31,Australian Government,,,
Breakfast cereal whole wheat flakes dried fruit & nuts added fibre vitamins B1 B2 B3 & folate Ca & Fe,100,9.8,3.3,65.6,15.5,0,25,13.9,98,0,527,7.38,376,Australian Government,,,
Breakfast cereal whole wheat puffed no added sugar or salt unfortified,100,10,2.8,62.4,9.2,0,0.8,19.2,2,0,360,3.3,32,Australian Government,,,
Bream fillet raw,100,19.6,5.1,0,0,0,0,38.4,84,74,347,0.4,23,Australian Government,,,
Bream fillet steamed no added fat,100,22.4,5.4,0,0,0,0,35,82,85,345,0.4,25,Australian Government,,,
Broccolini fresh raw,100,3.2,0.4,2,2.5,0,1.3,0,16,0,250,0.78,39,Australian Government,,,
Brussels sprout fresh raw,100,3.8,0.3,2.1,4.5,0,2.1,0,30,0,380,0.9,15,Australian Government,,,
Buckwheat groats cooked in water no added salt,100,3,0.7,12.3,1.1,0,0.3,,3,0,123,0.64,4,Australian Government,,,
Buckwheat groats uncooked,100,14,3.2,58,5,0,1.4,21.9,1,0,577,3,14,Australian Government,,,
Buffalo riverine cube roll raw,100,23.9,6.6,0,0,0,0,58.9,56,46,297,2.3,6,Australian Government,,,
Buffalo riverine topside raw,100,24.4,2.2,0,0,0,0,52.5,56,46,297,2.7,5,Australian Government,,,
Buffalo swamp cube roll raw,100,24.4,2.5,0,0,0,0,45.6,45,42,297,2.4,3,Australian Government,,,
Buffalo swamp topside raw,100,24.6,0.8,0,0,0,0,44.5,41,46,297,3.3,4,Australian Government,,,
Bulgur soaked in water no added fat or salt,100,5.4,0.9,28.3,7.3,0,0.4,20.5,2,0,169,1.6,12,Australian Government,,,
Bulgur uncooked,100,10.3,2,66.1,7.8,0,1,20.3,3,0,320,2.5,30,Australian Government,,,
Bun sweet with dried fruit iced,100,6.4,6,50.8,1.9,0,17.3,,267,2,176,0.81,18,Australian Government,,,
Bun sweet with dried fruit uniced,100,6.9,6,49.4,3.4,0,16.9,29.8,282,2,183,2.36,45,Australian Government,,,
Butter plain no added salt,100,1.1,81.3,0,0,0,0,69.58,10,167,23,0.01,17,Australian Government,,,
Butter plain salted,100,1.1,81.3,0,0,0,0,69.58,776,167,23,0.01,17,Australian Government,,,
Cabbage Chinese flowering raw,100,1.3,0.3,0.9,2.8,0,0.8,0,13,0,340,1.7,70,Australian Government,,,
Cabbage Chinese raw,100,1.1,0,0.9,1.1,0,0.9,0,6,0,250,0.3,25,Australian Government,,,
Cabbage mustard raw,100,2.3,0.3,0.7,1.8,0,0.7,0,3,0,450,0.7,130,Australian Government,,,
Cabbage red raw,100,2.2,0.3,2.7,3.4,0,2.7,0,16,0,450,0.6,35,Australian Government,,,
Cabbage savoy raw,100,1.7,0.1,2.3,2.3,0,2.3,0,23,0,340,0.6,39,Australian Government,,,
Cabbage white raw,100,1.3,0.1,2.8,2.4,0,2.8,0,14,0,266,0.46,32,Australian Government,,,
Cake carrot commercial iced,100,4.3,21.3,49,1.5,0,30,23.78,336,43,150,1.6,41,Australian Government,,,
Cake carrot homemade iced,100,3.9,14.9,48.6,1.8,0,36.9,,307,74,173,0.67,32,Australian Government,,,
Cake carrot homemade uniced,100,4.8,15.9,44.2,2.2,0,30.2,,357,87,215,0.84,39,Australian Government,,,
Cake chocolate homemade iced,100,6.5,17.8,46.4,2.6,0,27,,361,96,410,2.78,54,Australian Government,,,
Cake chocolate homemade uniced,100,7.8,19.2,41.4,2.9,0,17.9,,422,113,454,3.09,64,Australian Government,,,
Cake fruit homemade uniced,100,3.9,9.9,45.2,3,0.8,35.7,,138,51,424,1.32,43,Australian Government,,,
Cake lamington unfilled,100,4.7,9.4,48,2.4,0,31.5,78.04,218,31,200,1.6,6,Australian Government,,,
Cake mix plain dry powder,100,4.8,8.2,73.5,1.4,0,42.5,54.8,670,1,81,0.78,61,Australian Government,,,
Cake mud dark chocolate commercial chocolate ganache icing,100,5.1,13.9,48.7,2.6,0,33.1,30.3,290,24,217,1.57,39,Australian Government,,,
Cake mud dark chocolate homemade chocolate ganache icing,100,5.2,33.8,35.4,0.6,0,28.2,,256,152,264,2.29,40,Australian Government,,,
Cake mud dark chocolate homemade uniced,100,5.6,34.3,32.4,0.5,0,25.3,,308,183,242,2.04,36,Australian Government,,,
Cake plain butter cake commercial iced,100,5,16.1,52.7,1.4,0,36.7,18.48,420,54,77,0.5,4,Australian Government,,,
Cake plain butter cake commercial uniced,100,8.2,15.2,46.9,1.3,0,25.3,18.48,480,75,110,1.2,52,Australian Government,,,
Cake plain butter cake homemade iced,100,5.4,15.1,55.2,0.7,0,31.5,,406,87,89,0.62,42,Australian Government,,,
Cake plain butter cake homemade uniced,100,6.7,16.1,52.5,0.9,0,23.5,,481,103,110,0.78,52,Australian Government,,,
Cake sponge plain commercial uniced filled with jam & cream,100,6.7,12.2,58.1,1.2,0,37.6,,278,130,114,0.66,54,Australian Government,,,
Cake sponge plain commercial uniced unfilled,100,7.5,8.2,56.5,1.2,0,32.5,33.5,320,134,110,0.72,52,Australian Government,,,
Camel cube roll raw,100,20.3,7.7,0,0,0,0,59.6,46,42,297,1.9,4,Australian Government,,,
Camel rump raw,100,21.4,3,0,0,0,0,47.6,52,47,297,2.2,4,Australian Government,,,
Capers pickled canned drained,100,2.4,0.9,1.7,3.2,0,0.4,38.83,2348,0,40,1.67,40,Australian Government,,,
Capsicum green fresh raw,100,1.5,0.1,2.3,2,0,2.3,0,2,0,151,0.53,8,Australian Government,,,
Capsicum red fresh raw,100,1.7,0.2,4,1.8,0,4,0,2,0,174,0.3,4,Australian Government,,,
Caramels soft & hard,100,2.5,11.4,74.5,1.5,0,54.6,79.9,250,14,120,0.3,67,Australian Government,,,
Cardamom seed dried ground,100,10.8,6.7,34.4,28,0,4.4,34.34,18,0,1119,13.97,383,Australian Government,,,
Carrot baby peeled fresh raw,100,0.7,0.1,5.5,3.3,0,5.5,0,51,0,210,0.5,42,Australian Government,,,
Carrot mature peeled fresh raw,100,0.6,0,6.6,3.4,0,6.2,0,49,0,264,0.24,26,Australian Government,,,
Cassava peeled fresh raw,100,1.1,0.2,30.4,4.6,0,1.2,,2,0,270,0.8,20,Australian Government,,,
Cassava white flesh peeled fresh raw,100,0.6,0.3,34.1,4.6,0,1.2,0,2,0,250,1,21,Australian Government,,,
Cassava yellow flesh peeled fresh raw,100,1.6,0.2,26.7,4.7,0,1.2,0,2,0,290,0.6,18,Australian Government,,,
Cauliflower fresh raw,100,1.9,0.2,3.3,1.2,0,2.8,0,40,0,242,0.32,18,Australian Government,,,
Celeriac peeled raw,100,1.6,0.2,2.8,5.1,0,2.8,0,21,0,440,0.2,41,Australian Government,,,
Celery fresh raw,100,0.6,0.1,1.2,1.4,0,1.2,0,98,0,267,0.25,44,Australian Government,,,
Cheese blue vein,100,20.3,32.4,0,0,0,0,67.6,1090,100,88,0.17,510,Australian Government,,,
Cheese brie,100,18.2,31.5,0,0,0,0,68.8,580,93,100,0.12,460,Australian Government,,,
Cheese camembert,100,20.4,23.8,0,0,0,0,69.2,570,93,98,0,490,Australian Government,,,
Cheese cheddar natural reduced fat approximately 15%,100,31.1,15.3,0,0,0,0,68.28,560,45,110,0.18,995,Australian Government,,,
Cheese cheddar natural reduced fat approximately 25%,100,28.6,23.4,0,0,0,0,68.28,550,85,110,0,800,Australian Government,,,
Cheese cheddar natural regular fat,100,24.6,32.8,0.5,0,0,0.4,69.91,684,108,73,0.14,763,Australian Government,,,
Cheese cheddar processed reduced fat approximately 15% added vitamin D,100,22.5,15.4,4.9,0,0,4.9,70.5,1171,50,170,0.31,886,Australian Government,,,
Cheese cheddar processed regular fat,100,18.2,23.9,1.9,0,0,1.5,71.12,1420,68,125,0.21,588,Australian Government,,,
Cheese cottage,100,15.4,5.7,1.8,0,0,1.8,64.27,277,22,123,0.05,89,Australian Government,,,
Cheese cream plain,100,8.5,34.2,0.2,0,0,0.2,68.3,320,110,80,0,69,Australian Government,,,
Cheese edam,100,28,27.2,0,0,0,0,66.9,900,78,85,0.27,810,Australian Government,,,
Cheese fetta feta,100,16.6,22.3,0.4,0,0,0.4,67.2,1100,75,74,0.32,315,Australian Government,,,
Cheese goat firm,100,18.6,31.3,0.8,0,0,0.8,70.1,538,134,116,0.05,334,Australian Government,,,
Cheese goat soft,100,21.2,21.7,0.9,0,0,0.9,70.1,430,93,127,0,63,Australian Government,,,
Cheese haloumi,100,21.3,17.1,1.8,0,0,1.8,68.28,2900,53,77,0.2,620,Australian Government,,,
Cheese mozzarella,100,22.2,22.1,0,0,0,0,68.8,522,71,79,0.06,685,Australian Government,,,
Cheese parmesan dried finely grated,100,40.6,33.3,0,0,0,0,66.9,1300,88,80,0.46,970,Australian Government,,,
Cheese parmesan fresh,100,35.1,28.8,0,0,0,0,66.9,1300,77,80,0.4,970,Australian Government,,,
Cheese ricotta,100,10.4,11.8,2.7,0,0,2.7,69.3,170,50,91,0,170,Australian Government,,,
Cheese soy,100,7,28,4.7,0.6,0,1.8,14.3,685,0,171,1.9,30,Australian Government,,,
Cherry black canned in syrup,100,0.7,0.1,16,0.9,0,15.8,,4,0,125,1.42,8,Australian Government,,,
Cherry black canned in syrup drained,100,0.9,0.1,16,1.7,0,15.7,0,5,0,130,1.6,10,Australian Government,,,
Cherry black canned in syrup syrup only,100,0.5,0,16,0,0,16,0,3,0,120,1.2,6,Australian Government,,,
Cherry raw,100,0.8,0.2,10.9,1.5,0,10.9,0,0,0,230,0.28,22,Australian Government,,,
Chicken breast lean flesh raw,100,22.3,1.6,0,0,0,0,32.9,41,59,300,0.4,12,Australian Government,,,
Chicken breast lean flesh skin & fat raw,100,20.1,9.4,0,0,0,0,,40,65,264,0.45,12,Australian Government,,,
Chicken drumstick lean flesh raw,100,18.5,4.8,0,0,0,0,30.9,71,84,260,0.6,10,Australian Government,,,
Chicken drumstick lean flesh skin & fat raw,100,17.6,9.3,0,0,0,0,,67,86,240,0.61,10,Australian Government,,,
Chicken liver raw,100,16.9,4.8,0,0,0,0,37.37,66,345,230,9.8,4,Australian Government,,,
Chicken mince raw,100,19.2,6,1.1,0,0,0.1,31.9,52,79,280,0.7,10,Australian Government,,,
Chicken processed luncheon meat low or reduced fat,100,19.4,1.2,4.4,0.2,0,0.2,32.75,760,82,350,0.39,8,Australian Government,,,
Chicken separable fat composite cooked no added fat,100,4.3,53,0,0,0,0,,13,66,32,0.54,6,Australian Government,,,
Chicken separable fat composite raw,100,5.1,62.3,0,0,0,0,32.2,22,78,63,0.7,9,Australian Government,,,
Chicken skin composite raw,100,12.7,35.1,0,0,0,0,32.4,43,100,120,0.7,13,Australian Government,,,
Chicken thigh lean flesh raw,100,18.3,5,0,0,0,0,31.9,62,79,280,0.7,10,Australian Government,,,
Chicken thigh lean flesh skin & fat raw,100,15.5,18.3,0,0,0,0,,53,82,222,0.7,10,Australian Government,,,
Chicken wing lean flesh raw,100,18.7,4.1,0,0,0,0,32,66,79,230,0.4,13,Australian Government,,,
Chicken wing lean flesh skin & fat raw,100,16.1,17.4,0,0,0,0,,56,87,184,0.52,13,Australian Government,,,
Chickpea canned drained,100,6.3,2.1,13.3,5.7,0,0.6,12.75,250,0,140,1.8,45,Australian Government,,,
Chickpea dried,100,19.7,5.5,38.5,20.8,0,2.2,12.7,11,0,396,4.6,159,Australian Government,,,
Chicory raw,100,1.8,0.2,0.8,1.8,0,0.7,0,36,0,220,1.7,30,Australian Government,,,
Chilli chili dried ground,100,13.4,14.3,14.9,34.8,0,7.2,18,2867,0,1950,17.3,330,Australian Government,,,
Chilli chili green raw,100,2.8,0.3,1,12.9,0,1,0,4,0,280,1.6,12,Australian Government,,,
Chilli chili red raw,100,1.4,0.4,4.2,10.6,0,4.2,0,3,0,300,1.1,16,Australian Government,,,
Chives raw,100,1.5,0.3,2.6,4.7,0,2.6,0,7,0,210,2.8,90,Australian Government,,,
Chocolate compound cooking,100,4,30.3,57,4.6,0,55.3,95.7,45,3,650,2,78,Australian Government,,,
Chocolate dark high cocoa solids,100,3.9,30.1,62.6,1.2,0,52,63.26,55,0,440,4.4,52,Australian Government,,,
Chocolate milk,100,7.6,30.5,56,2.3,0,54.6,64.28,68,21,425,1.42,252,Australian Government,,,
Chocolate milk fondant or caramel filled,100,6,24.7,61.4,2,0,53.6,64.5,79,15,320,1.3,170,Australian Government,,,
Chocolate milk with dried fruit & nuts,100,7.8,28,53.1,3,0,51.3,,65,16,521,1.7,218,Australian Government,,,
Chocolate milk with nuts,100,9.9,39.5,40.7,4.7,0,39.6,,49,15,505,1.97,208,Australian Government,,,
Chocolate white,100,7.1,34.5,54.6,0.2,0,54.6,64.86,78,20,310,0,230,Australian Government,,,
Choko peeled fresh raw,100,0.5,0.2,3.6,1.4,0,3.1,0,8,0,88,0.3,17,Australian Government,,,
Chutney or relish commercial,100,0.5,0.3,43.1,2.2,0,41.5,0,690,0,210,0.9,25,Australian Government,,,
Cider apple alcohol approximately 4-5% v/v,100,0,0,5.6,0,3.9,5.6,0,3,0,56,0.02,3,Australian Government,,,
Cinnamon dried ground,100,4,1.2,27.5,53.1,0,2.2,52.35,10,0,431,8.32,1002,Australian Government,,,
Cloves dried ground,100,6,13,31.6,33.9,0,2.4,44.15,277,0,1020,11.83,632,Australian Government,,,
Cocoa powder,100,20.5,15.2,10.5,27.7,0,1.5,63.3,81,0,4400,30,170,Australian Government,,,
Coconut cream regular fat,100,1.6,23.2,1.4,0,0,1.4,86.1,16,0,130,0.51,2,Australian Government,,,
Coconut fresh mature fruit flesh,100,3.8,32.8,3.3,8.1,0,2.9,93.7,5,0,270,0.4,7,Australian Government,,,
Coconut fresh mature water or juice,100,0.5,0.1,4.7,0,0,4.7,93.7,17,0,200,0.6,17,Australian Government,,,
Coconut fresh young or immature flesh,100,1.6,5.6,7,0.5,0,4,93.7,6,0,138,0.6,18,Australian Government,,,
Coconut fresh young or immature water or juice,100,0.2,0,6.6,0,0,6.6,93.7,5,0,186,0.4,12,Australian Government,,,
Coconut grated & desiccated,100,6.6,65.4,7.3,15.4,0,6.6,93.7,15,0,574,1.7,12,Australian Government,,,
Coconut milk canned reduced fat,100,0.6,7.1,0.9,0,0,0.9,95.6,15,0,61,0.2,5,Australian Government,,,
Coconut milk canned regular fat,100,1.4,15.4,1.7,0,0,1.7,86.1,26,0,160,0.66,3,Australian Government,,,
Cod or hake smoked steamed,100,20.1,1.5,0,0,0,0,34,548,59,252,0.2,20,Australian Government,,,
Cod smoked raw,100,18.8,1,0,0,0,0,35.2,655,49,300,0.2,20,Australian Government,,,
Coffee black from instant coffee powder,100,0.2,0,0,0.2,0,0,,3,0,31,0.03,3,Australian Government,,,
Coffee black from instant coffee powder decaffeinated,100,0.2,0,0,0.2,0,0,,3,0,31,0.03,3,Australian Government,,,
Coffee cappuccino from ground coffee beans with regular fat cows milk,100,3,2.7,4.9,0,0,4.8,,28,8,234,0.03,81,Australian Government,,,
Coffee espresso from ground coffee beans,100,1.7,0.3,0,0,0,0,47.9,2,0,520,0,11,Australian Government,,,
Coffee flat white or latte from ground coffee beans with regular fat cows milk,100,3,2.8,4.8,0,0,4.8,,29,8,214,0.02,86,Australian Government,,,
Coffee instant dry powder or granules,100,18,0.3,3.6,20.6,0,3.4,47.9,61,0,3500,2.8,150,Australian Government,,,
Coffee instant dry powder or granules decaffeinated,100,18,0.3,2.5,20.6,0,2.3,47.9,61,0,3500,2.8,150,Australian Government,,,
Coffee long black from ground coffee beans,100,0.3,0.1,0,0,0,0,,3,0,104,0,3,Australian Government,,,
Cone wafer style for ice cream,100,7.9,2.3,72.3,3.2,0,0.3,26.9,327,0,137,2.2,26,Australian Government,,,
Confectionery almond chocolate-coated,100,9.4,33.5,48.4,3.6,0,47.2,,58,18,481,1.77,254,Australian Government,,,
Confectionery chocolate centre sugar-coated,100,4.8,18.8,76.7,1.8,0,64.9,49.26,55,8,290,1.3,110,Australian Government,,,
Confectionery dried fruit & nuts chocolate-coated,100,9.7,29.5,45.8,3.8,0,43.2,,36,10,605,1.63,161,Australian Government,,,
Confectionery peanut chocolate-coated,100,13.3,37.7,41.9,4.3,0,37.6,,174,14,508,1.75,183,Australian Government,,,
Confectionery sultana chocolate-coated,100,6.1,21.5,57.4,2.6,0,55.9,,50,15,584,1.55,192,Australian Government,,,
Cordial 25% blackcurrant juice regular recommended dilution,100,0,0,11.8,0,0,11.8,,2,0,11,0.07,2,Australian Government,,,
Cordial 25% citrus fruit juice regular recommended dilution,100,0,0,8.7,0,0,8.7,,5,0,4,0,2,Australian Government,,,
Cordial 40% citrus fruit juice regular recommended dilution,100,0,0,9.4,0,0,9.4,,12,0,8,0.03,2,Australian Government,,,
Cordial base 25% citrus fruit juice regular,100,0,0,37.3,0,0,37.3,0,12,0,15,0,3,Australian Government,,,
Cordial base 40% citrus fruit juice regular,100,0.2,0,40.2,0,0,40.2,0,43,0,32,0.1,4,Australian Government,,,
Cordial base 5% blackcurrant juice regular,100,0.1,0,57,0,0,57,0,0,0,54,0.33,6,Australian Government,,,
Coriander fresh leaves & stems,100,3.1,0.7,3.7,3.5,0,2.5,4.26,28,0,520,6.8,84,Australian Government,,,
Coriander seed dried ground,100,12.4,17.8,8.4,41.9,0,2.4,6.07,35,0,1267,16.32,709,Australian Government,,,
Corn chips plain toasted salted,100,7.2,25.2,53,5,0,0.6,39.38,412,0,166,2.15,110,Australian Government,,,
Corn fresh on cob raw,100,3.6,1.8,12.5,3.8,0,5.4,29.1,19,0,250,1.2,16,Australian Government,,,
Corn kernels canned in brine drained,100,2.9,1,16.8,2.7,0,3.5,29.1,170,0,124,0.42,2,Australian Government,,,
Corn kernels purchased frozen raw,100,3,0.9,16.8,2.5,0,3,29.1,5,0,202,0.4,3,Australian Government,,,
Cornmeal polenta uncooked,100,8.1,2,64.1,2.9,0,0.6,17,1,0,152,0.7,3,Australian Government,,,
Couscous uncooked,100,13.8,0.2,73.6,4.2,0,3.4,22.5,2,0,250,1.9,27,Australian Government,,,
Cranberry dried sweetened,100,0.2,1.1,77.5,5.3,0,72.6,33.5,5,0,49,0.39,9,Australian Government,,,
Cranberry raw,100,0.5,0.1,4.3,3.6,0,4.3,9.88,2,0,80,0.23,8,Australian Government,,,
Cream imitation non-dairy,100,1,21.8,17.7,0,0,16.3,94.2,57,0,24,0,17,Australian Government,,,
Cream sour light approximately 18% fat,100,3.6,19.7,4.5,0,0,4.5,68.4,19,91,74,0,80,Australian Government,,,
Cream sour regular fat,100,1.9,36.3,2,0,0,2,68.4,19,91,74,0,50,Australian Government,,,
Cream thickened regular fat approximately 35%,100,2,36.1,2.4,0,0,2.4,68.25,27,110,84,0,60,Australian Government,,,
Crocodile back leg raw,100,22,2.2,0,0,0,0,31.9,70,68,370,0.3,6,Australian Government,,,
Crocodile cooked no added fat,100,37.1,3.2,0,0,0,0,,81,117,493,0.24,10,Australian Government,,,
Crocodile tail fillet raw,100,22.5,1.6,0,0,0,0,32,51,72,370,0,6,Australian Government,,,
Croissant plain,100,10,19.1,35.6,2.7,0,5.1,66.43,462,18,130,1.1,40,Australian Government,,,
Crumpet from white flour toasted,100,5.1,0.8,41.6,2.5,0,1.9,23,1051,0,88,1,92,Australian Government,,,
Cucumber common peeled raw,100,0.4,0.1,2.1,0.6,0,2.1,0,21,0,97,0.3,13,Australian Government,,,
Cucumber common unpeeled raw,100,0.8,0.1,1.2,1.4,0,1.2,0,10,0,136,0.22,18,Australian Government,,,
Cucumber Lebanese unpeeled raw,100,0.6,0,2,0.9,0,1.9,0,12,0,134,0.27,42,Australian Government,,,
Cucumber telegraph unpeeled raw,100,1.2,0.1,1.4,0.9,0,1.4,0,16,0,210,0.3,49,Australian Government,,,
Cumin cummin seed dried ground,100,17.8,22.3,33.7,10.5,0,2.2,8.14,168,0,1788,66.36,931,Australian Government,,,
Cumquat kumquat raw,100,1.9,0.9,9.4,6.5,0,9.4,33.5,10,0,186,0.86,62,Australian Government,,,
Currant dried,100,2.8,0.5,65.1,6,0,63.2,0,46,0,810,2.3,87,Australian Government,,,
Curry powder,100,14.3,14,2.8,53.2,0,2.8,12.22,52,0,1170,19.1,525,Australian Government,,,
Custard apple African pride peeled raw,100,1.4,0.6,15.8,2.5,0,14.7,33.5,4,0,250,0.3,17,Australian Government,,,
Custard powder vanilla dry mix,100,0.5,0.4,81.5,0.5,0,0.4,,392,0,16,0.72,8,Australian Government,,,
Custard vanilla prepared from dry mix,100,3.7,3.7,14.6,0,0,10.3,,59,11,152,0.07,114,Australian Government,,,
Custard vanilla regular fat,100,3.3,3,13.9,0,0,11.6,69.4,61,11,165,0.05,120,Australian Government,,,
Dairy blend butter & edible oil spread approximately 80% fat reduced salt sodium 400 mg/100 g,100,0.5,78.1,1,0,0,0.6,47.8,410,150,20,0,12,Australian Government,,,
Dairy blend butter & edible oil spread approximately 80% fat sodium 600 mg/100 g,100,0.5,78.1,1,0,0,0.6,45.66,611,150,27,0,17,Australian Government,,,
Dairy or yoghurt dessert chocolate regular fat,100,5.1,3.7,17.7,1.4,0,15.7,66.9,59,10,230,0.53,120,Australian Government,,,
Date dried,100,2,0.2,67.2,9.7,0,65.9,0,14,0,730,2.6,47,Australian Government,,,
Dill fresh raw,100,3.4,1.2,2.5,3.3,0,1.2,6.27,42,0,370,1.9,170,Australian Government,,,
Doughnut dusted with cinnamon & sugar,100,6.6,19.5,43.9,2,0,13.7,46.61,487,34,120,0.95,60,Australian Government,,,
Doughnut iced,100,6.7,15.9,48.2,1.7,0,22.9,45.08,414,33,94,0.8,21,Australian Government,,,
Doughnut jam filled sugar coated,100,6,17.6,46.2,1.9,0,19,,440,31,114,0.88,55,Australian Government,,,
Dressing French or Italian regular fat commercial,100,0.1,19.6,11.7,0,0,11.4,10.76,1250,0,0,0,0,Australian Government,,,
Dressing thousand island regular fat commercial,100,1,31.8,16.6,1.4,0,14.7,11.1,878,27,130,0.3,12,Australian Government,,,
Dripping beef,100,0.2,100,0,0,0,0,54.5,0,90,0,0,0,Australian Government,,,
Duck lean flesh raw,100,17.8,5.5,0,0,0,0,32.9,91,110,270,1.8,7,Australian Government,,,
Duck lean flesh skin & fat raw,100,13,36.9,0,0,0,0,,58,88,153,1.01,5,Australian Government,,,
Duck skin & fat raw,100,9.5,59.2,0,0,0,0,32.4,34,73,70,0.45,3,Australian Government,,,
Egg chicken white albumen raw,100,11.2,0,0.4,0,0,0.4,0,175,0,119,0.2,5,Australian Government,,,
Egg chicken whole omega-3 polyunsaturate enriched raw,100,12.4,9.2,0.3,0,0,0.3,32.02,120,340,120,1.6,45,Australian Government,,,
Egg chicken whole poached,100,13.1,8.9,0.3,0,0,0.3,,156,508,146,1.98,49,Australian Government,,,
Egg chicken whole raw,100,12.6,8.5,0.3,0,0,0.3,32.58,150,488,140,1.9,47,Australian Government,,,
Egg chicken whole scrambled with regular fat cows milk no fat added,100,10.8,7.7,2.3,0,0,2.3,,128,379,157,1.49,72,Australian Government,,,
Egg chicken yolk raw,100,15.6,28.2,0.2,0,0,0.2,36.6,58,1050,104,4,100,Australian Government,,,
Eggplant unpeeled fresh raw,100,1.1,0.3,2.6,2.4,0,2.6,0,5,0,170,0.2,23,Australian Government,,,
Eggs X-Large (700g/12 eggs),1.9230769230769231,12.6,8.5,0.3,0,0,0.3,32.58,150,488,140,1.9,47,Australian Government,,,
Eggs Large (600g/12 eggs),2.2222222222222223,12.6,8.5,0.3,0,0,0.3,32.58,150,488,140,1.9,47,Australian Government,,,
Eggs Jumbo (800g/12 eggs),1.694915254237288,12.6,8.5,0.3,0,0,0.3,32.58,150,488,140,1.9,47,Australian Government,,,
Eggs King Size (860g/12 eggs),1.5625,12.6,8.5,0.3,0,0,0.3,32.58,150,488,140,1.9,47,Australian Government,,,
Emu fan fillet raw,100,24.7,1.8,0,0,0,0,37.7,43,50,347,3.6,4,Australian Government,,,
Emu steak raw,100,25.5,1.9,0,0,0,0,36.1,54,54,347,4.3,5,Australian Government,,,
Endive fresh raw,100,1.5,0.2,0.4,2.2,0,0.3,0,76,0,190,1.7,46,Australian Government,,,
Extruded snack cheese flavoured,100,8.8,25.8,53.5,3.2,0,2.5,45.9,1000,9,230,0.3,190,Australian Government,,,
Fat solid vegetable oil based,100,0.2,100,0,0,0,0,51.3,0,0,0,0,0,Australian Government,,,
Feijoa raw,100,0.6,0.4,8,3,0,7.7,35.14,3,0,124,0.11,6,Australian Government,,,
Fennel fresh raw,100,1,0.1,3.3,1.8,0,3.3,0,38,0,280,0.1,20,Australian Government,,,
Fenugreek seed dried,100,23,6.4,4.2,47.6,0,0.6,16.84,67,0,770,33.53,176,Australian Government,,,
Fig dried,100,3.6,0.7,54.5,14.3,0,52.6,33.5,39,0,780,1.4,200,Australian Government,,,
Fig fresh unpeeled raw,100,1.4,0.3,8.1,3.3,0,8.1,0,3,0,180,0.3,38,Australian Government,,,
Fish eel raw,100,18.4,11.7,0,0,0,0,22.47,51,126,272,0.5,20,Australian Government,,,
Fish finger crumbed purchased frozen raw,100,12.1,11.6,16.6,1.1,0,1.5,14.1,300,28,190,0.45,13,Australian Government,,,
Flathead flesh raw,100,21.1,1,0,0,0,0,39.6,97,57,402,0.2,63,Australian Government,,,
Flathead flesh steamed no added fat,100,26.1,1.2,0,0,0,0,41,91,78,405,0.4,45,Australian Government,,,
Flour arrowroot,100,0.4,0.2,78.6,3.4,0,0,29.8,2,0,12,0.5,35,Australian Government,,,
Flour chickpea besan,100,19.7,5.5,38.5,20.8,0,2.2,12.7,11,0,396,4.6,159,Australian Government,,,
Flour cornflour from maize & wheat starch,100,0.6,0.4,84.4,0.5,0,0,27.65,10,0,16,0.75,8,Australian Government,,,
Flour cornflour from maize starch,100,0.4,0.6,84.1,0,0,0,26.5,16,0,9,0,3,Australian Government,,,
Flour gluten free plain,100,3.4,1.1,80.5,1.7,0,0.3,19.3,21,0,120,0.8,24,Australian Government,,,
Flour rice,100,7.6,2,71.6,2.2,0,0.6,,1,0,144,0.5,6,Australian Government,,,
Flour rye,100,11.4,2.3,54.9,17.3,0,1.4,17.5,4,0,432,4,44,Australian Government,,,
Flour soya,100,49.8,8.9,14.6,16,0,9.3,18.52,9,0,2090,8.2,285,Australian Government,,,
Flour spelt,100,18.3,2.4,59.1,7.4,0,0.9,16.7,2,0,330,4.8,29,Australian Government,,,
Flour wheat white high protein or bread making flour,100,11.7,1.7,69.6,2.5,0,1.8,20.2,3,0,170,1.2,21,Australian Government,,,
Flour wheat white plain,100,10,1.3,73.2,2.2,0,1.9,20.2,3,0,170,1.2,21,Australian Government,,,
Flour wheat white plain added vitamins B1 B2 B3 B6 E & folate & Fe Mg & Zn Jackaroo,100,11.1,1.5,67.3,3.8,0,1.1,22.6,4,0,180,5.8,22,Australian Government,,,
Flour wheat white self-raising,100,10,1.3,73.2,2.2,0,1.9,20.2,740,0,150,1.2,59,Australian Government,,,
Flour wheat white self-raising added vitamins B1 B2 B3 B6 E & folate & Fe Mg & Zn Jackaroo,100,10.7,1.5,65.2,3.7,0,1.1,,852,0,174,5.62,21,Australian Government,,,
Flour wheat wholemeal plain,100,12.1,2.1,58.6,11.2,0,0.9,19.6,5,0,315,3,30,Australian Government,,,
Flour wheat wholemeal self-raising,100,10.6,2.1,65.3,11.3,0,0.9,19.6,655,0,284,2.2,68,Australian Government,,,
Frankfurt cooked,100,14.3,19.9,3.4,1.8,0,0.2,41,770,58,93,2.3,33,Australian Government,,,
Fruit drink apple juice,100,0,0,9.8,0,0,9.8,0,7,0,22,0,3,Australian Government,,,
