Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Bean broad fresh raw,100,6.9,0.5,2.2,7.1,0,0.7,0,4,0,250,1.9,17,Australian Government,,,
Bean butter fresh raw,100,2.3,0.2,2.3,2.3,0,1.8,0,3,0,230,0.4,16,Australian Government,,,
Bean green fresh raw,100,1.8,0,3.3,2.8,0,2.6,0,0,0,280,0.69,45,Australian Government,,,
Bean haricot dried,100,21.9,2.2,34.8,18.5,0,3.5,15.4,4,0,1290,6.4,150,Australian Government,,,
Bean lima dried,100,21.4,1.7,40.6,17.7,0,3.7,28.6,3,0,1900,5.7,55,Australian Government,,,
Bean mung whole dried uncooked,100,24.5,2,41.9,13.7,0,2.1,40,1,0,1250,4,89,Australian Government,,,
Bean red kidney canned drained,100,6.6,0.6,14,6.5,0,2.4,44.91,320,0,270,2.1,36,Australian Government,,,
Bean red kidney dried,100,22.5,1.8,35.6,21.5,0,3.4,18.72,3,0,1470,5.6,95,Australian Government,,,
Bean red kidney fresh raw,100,12.8,0.4,14.7,9.1,0,1.2,0,3,0,490,2.4,12,Australian Government,,,
Beef all cuts separable fat cooked no added fat,100,15.3,55.6,0,0,0,0,40.72,29,65,160,0.96,8,Australian Government,,,
Beef all cuts separable fat raw,100,12.1,61.4,0,0,0,0,43.88,25,60,160,1.3,6,Australian Government,,,
Beef boneless dice or strips lean raw,100,27.6,2.4,0,0,0,0,,38,54,340,1.7,4,Australian Government,,,
Beef boneless dice or strips untrimmed raw,100,27.3,3.3,0,0,0,0,,38,54,337,1.69,5,Australian Government,,,
Beef corned canned,100,21.5,15.7,0.3,0.7,0,0.3,49.4,750,150,140,2,6,Australian Government,,,
Beef diced lean raw,100,27.9,2.7,0,0,0,0,38.92,38,54,340,1.7,4,Australian Government,,,
Beef diced untrimmed raw,100,27.6,3.9,0,0,0,0,,38,54,336,1.69,5,Australian Government,,,
Beef mince higher fat raw,100,22.5,10.4,0,0,0,0,48.47,51,78,305,1.45,4,Australian Government,,,
Beef mince lower fat raw,100,22.9,4.1,0,0,0,0,46.94,68,76,349,1.56,7,Australian Government,,,
Beef mince regular fat raw,100,22.4,8.9,0,0,0,0,45.78,68,76,349,1.5,7,Australian Government,,,
Beef roasting piece silverside or topside lean raw,100,23,3.6,0,0,0,0,,44,35,357,1.24,4,Australian Government,,,
Beef roasting piece silverside or topside lean roasted no added fat,100,29.8,4.2,0,0,0,0,,54,62,340,2.4,4,Australian Government,,,
Beef roasting piece silverside or topside semi-trimmed raw,100,22.8,4.7,0,0,0,0,,43,36,353,1.24,4,Australian Government,,,
Beef roasting piece silverside or topside semi-trimmed roasted no added fat,100,29.4,5.7,0,0,0,0,,53,62,335,2.36,4,Australian Government,,,
Beef roasting piece silverside or topside untrimmed raw,100,22.1,8.7,0,0,0,0,,42,38,340,1.25,4,Australian Government,,,
Beef roasting piece silverside or topside untrimmed roasted no added fat,100,28.6,8.3,0,0,0,0,,52,62,326,2.28,4,Australian Government,,,
Beef rump steak lean raw,100,20.4,2.8,0,0,0,0,38.93,50,62,370,2.1,4,Australian Government,,,
Beef rump steak semi-trimmed raw,100,20,5.6,0,0,0,0,,49,62,360,2.06,4,Australian Government,,,
Beef rump steak untrimmed raw,100,18.9,13.3,0,0,0,0,,46,62,332,1.96,4,Australian Government,,,
Beef silverside roast lean raw,100,24.1,2.3,0,0,0,0,39.62,44,35,360,1.24,4,Australian Government,,,
Beef silverside roast lean roasted no added fat,100,26.9,5.6,0,0,0,0,30.27,54,62,340,2.4,4,Australian Government,,,
Beef silverside roast semi-trimmed raw,100,23.7,4.5,0,0,0,0,,43,36,353,1.24,4,Australian Government,,,
Beef silverside roast semi-trimmed roasted no added fat,100,26.6,6.8,0,0,0,0,,53,62,336,2.37,4,Australian Government,,,
Beef silverside roast untrimmed raw,100,22.8,8.7,0,0,0,0,,42,38,338,1.25,4,Australian Government,,,
Beef silverside roast untrimmed roasted no added fat,100,26,9.6,0,0,0,0,,52,62,326,2.28,4,Australian Government,,,
Beef sirloin steak lean raw,100,24.1,1.9,0,0,0,0,41.02,57,58,380,2.2,6,Australian Government,,,
Beef sirloin steak semi-trimmed raw,100,23.4,5.5,0,0,0,0,,55,58,367,2.15,6,Australian Government,,,
Beef sirloin steak untrimmed raw,100,21.4,15.3,0,0,0,0,,50,58,330,2,6,Australian Government,,,
Beef steak boneless fillet or tenderloin lean raw,100,22.2,5.2,0,0,0,0,41.02,57,58,380,2.2,6,Australian Government,,,
Beef steak boneless fillet or tenderloin semi-trimmed raw,100,21.7,8,0,0,0,0,,55,58,369,2.16,6,Australian Government,,,
Beef steak boneless fillet or tenderloin untrimmed raw,100,21.5,9.3,0,0,0,0,,55,58,364,2.13,6,Australian Government,,,
Beef steak boneless or bone-in blade lean raw,100,22.2,2.6,0,0,0,0,38.92,56,45,340,1.9,4,Australian Government,,,
Beef steak boneless or bone-in blade semi-trimmed raw,100,21.6,6.2,0,0,0,0,,54,46,329,1.86,5,Australian Government,,,
Beef steak boneless or bone-in blade untrimmed raw,100,21,9.5,0,0,0,0,,52,47,319,1.83,5,Australian Government,,,
Beef steak boneless round lean raw,100,21,1.7,0,0,0,0,37.08,50,62,370,2.1,4,Australian Government,,,
Beef steak boneless round semi-trimmed raw,100,20.5,4.7,0,0,0,0,,49,62,359,2.06,4,Australian Government,,,
Beef steak boneless round untrimmed raw,100,20.4,6,0,0,0,0,,48,62,355,2.04,4,Australian Government,,,
Beef steak boneless rump or sirloin lean raw,100,22.2,2.4,0,0,0,0,,54,60,375,2.15,5,Australian Government,,,
Beef steak boneless rump or sirloin semi-trimmed raw,100,21.7,5.5,0,0,0,0,,52,60,363,2.1,5,Australian Government,,,
Beef steak boneless rump or sirloin untrimmed raw,100,20.2,14.3,0,0,0,0,,48,60,331,1.98,5,Australian Government,,,
Beef steak boneless scotch fillet lean raw,100,23.8,2.8,0,0,0,0,41.02,57,58,380,2.2,6,Australian Government,,,
Beef steak boneless scotch fillet semi-trimmed raw,100,22.4,10,0,0,0,0,,53,58,353,2.09,6,Australian Government,,,
Beef steak boneless scotch fillet untrimmed raw,100,21.6,13.9,0,0,0,0,,51,58,338,2.03,6,Australian Government,,,
Beef steak with bone T-bone lean raw,100,24.4,2,0,0,0,0,41.02,57,58,380,2.2,6,Australian Government,,,
Beef steak with bone T-bone or blade lean raw,100,23.3,2.3,0,0,0,0,,56,52,360,2.05,5,Australian Government,,,
Beef steak with bone T-bone or blade semi-trimmed raw,100,22.2,7.9,0,0,0,0,,54,52,341,1.98,5,Australian Government,,,
Beef steak with bone T-bone or blade untrimmed raw,100,21.2,13.2,0,0,0,0,,51,53,322,1.9,5,Australian Government,,,
Beef steak with bone T-bone semi-trimmed raw,100,22.8,9.5,0,0,0,0,,53,58,352,2.09,6,Australian Government,,,
Beef steak with bone T-bone untrimmed raw,100,21.3,16.9,0,0,0,0,,49,59,325,1.97,6,Australian Government,,,
Beef stir-fry strips lean raw,100,27.2,2,0,0,0,0,38.92,38,54,340,1.7,4,Australian Government,,,
Beef stir-fry strips untrimmed raw,100,27,2.7,0,0,0,0,,38,54,338,1.7,5,Australian Government,,,
Beef topside roast lean raw,100,22.3,3,0,0,0,0,39.62,44,35,360,1.24,4,Australian Government,,,
Beef topside roast lean roasted no added fat,100,32.7,2.8,0,0,0,0,30.27,54,62,340,2.4,4,Australian Government,,,
Beef topside roast semi-trimmed raw,100,22,5,0,0,0,0,,43,36,353,1.24,4,Australian Government,,,
Beef topside roast semi-trimmed roasted no added fat,100,32.1,4.7,0,0,0,0,,53,62,334,2.35,4,Australian Government,,,
Beef topside roast untrimmed raw,100,21.3,8.6,0,0,0,0,,42,37,341,1.25,4,Australian Government,,,
